x,y,objectid_1,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,st_vendor,st_version,geoprec,phoneloc,qc_qa,ucaoa_id,longitude,latitude
-84.1615717,35.8801188,1,4001,11513140,FARRAGUT WALK-IN CLINIC,865-671-6026,11408 KINGSTON PIKE, ,KNOXVILLE,TN,37934,3975,KNOX,47093,"LOC ON THE SOUTHEAST SIDE OF KINGSTON PIKE, APPR .1 MILES SOUTHWEST OF S CAMPBELL STATION RD.", , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24657452,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-84.16157163332355,35.88011870941182
-84.4223299,39.1639541,2,4002,10422042,TRISTATE URGENT CARE OF OAKLEY,513-531-1505,5002 RIDGE AVENUE, ,CINCINNATI,OH,45209,5015,HAMILTON,39061,LOCATED ON THE NORTH WEST CORNER OF RIDGE AVE AND CALVERT ST, , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",32010448,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3004,-84.42232995895978,39.16395408421454
-81.6321559,30.1449767,3,4003,10425970,SOLANTIC WALK-IN URGENT CARE - MANDARIN,904-288-0277,12303 SAN JOSE BOULEVARD, ,JACKSONVILLE,FL,32223,2640,DUVAL,12031,LOCATED ON THE SE CORNER OF PADDLE CREEK DR AND SR-13., , , ,2008-02-07T00:00:00.000Z,PHONE,2008-02-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",23055221,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-81.63215599230455,30.144976638062303
-76.9569441,40.2053116,4,4004,10844061,CONCENTRA URGENT CARE - HARRISBURG WEST,717-795-1819,4910 RITTER ROAD, ,MECHANICSBURG,PA,17055,4891,CUMBERLAND,42041,"LOC ON THE NORTHEAST SIDE OF RITTER RD, LESS THAN .1 MILES NORTHWEST OF LOUISE DR.", , , ,2009-02-02T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",43026986,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-76.95694413576257,40.2053115100191
-66.2613409,18.1431537,5,4005,11513174,EL CENTRO HERIDAS Y ULCERAS,787-735-8001,CALLE JOSE C VAZQUEZ, ,AIBONITO,PR,00705, ,AIBONITO,72009,S SIDE OF CALLE DR GEORGE D TROYER ABOUT .1 MI E OF CALLE JOSE C VAZQUEZ, , , ,2009-02-12T00:00:00.000Z,PHONE,2009-02-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",120166426,NAVTEQ,2008Q1,ONENTITY,NO,TGS, ,-66.26134079783884,18.14315360225777
-80.1073601,26.2107405,6,4006,10844294,SOLANTIC WALK-IN URGENT CARE - POMPANO BEACH,954-580-4401,1611 SOUTH FEDERAL HIGHWAY, ,POMPANO BEACH,FL,33062,7514,BROWARD,12011,LOCATED ON THE WEST SIDE OF S FEDERAL HWY BETWEEN NE 65TH ST AND SE 15TH ST, , , ,2009-01-15T00:00:00.000Z,PHONE,2009-01-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127627702,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-80.10736006321571,26.210740445715885
-80.0895389,26.8088654,7,4007,10469731,GARDENS URGENT CARE,561-626-4878,3555 NORTHLAKE BOULEVARD, ,WEST PALM BEACH,FL,33403,1650,PALM BEACH,12099,169 YARDS WEST OF MCARTHUR BLVD ON THE NORTH SIDE OF NORTHLAKE BLVD, , , ,2008-03-10T00:00:00.000Z,PHONE,2008-03-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",22612206,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-80.08953896355166,26.80886534546022
-80.0892832,40.3131028,8,4008,10470864,MEDEXPRESS URGENT CARE - SOUTH HILLS,412-854-3627,2600 OLD WASHINGTON ROAD, ,UPPER SAINT CLAIR,PA,15241,2524,ALLEGHENY,42003,ON THE W SIDE OF OLD WASHINGTON RD BETWEEN BOYCE RD AND PHILLIP DR, , , ,2008-03-17T00:00:00.000Z,PHONE,2008-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",126742205,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-80.08928314779837,40.31310278456675
-83.6434071,32.619323,9,4009,11513712,HOUSTON MEDICAL CENTER - PAVILLION MED STOP,478-923-2843,233 NORTH HOUSTON ROAD, ,WARNER ROBINS,GA,31093,3074,HOUSTON,13153,"LOCATED ON THE WEST SIDE OF NORTH HOUSTON ROAD, BETWEEN BIRCH AVENUE AND WATSON BOULEVARD.", , , ,2009-02-19T00:00:00.000Z,PHONE,2009-02-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",104730333,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-83.64340707277756,32.61932300765159
-84.1440084,35.8917447,10,4010,11513134,DOCTORS CARE - KNOXVILLE,865-675-3311,101 GLENLEIGH COURT, ,KNOXVILLE,TN,37934,3052,KNOX,47093,LOC ON THE SOUTH CORNER OF THE T-INTERSECTION OF KINGSTON PIKE & GLENLEIGH CT., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24658080,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-84.14400836119626,35.89174474462516
