SVI,SVI_q,distance_km,distance_miles,nearest_facility
0.8504,Q4(high),2.9916973264675386,1.8589539594444608,AUGUSTA CLINIC
0.9343,Q4(high),4.982582152100874,3.0960320544330724,CONCENTRA MEDICAL CENTER - CHICAGO
0.9545,Q4(high),0.8765247568478391,0.5446470646872986,PHYSICIANS IMMEDIATE CARE - CHICAGO LOOP
0.8132,Q3,2.542673187774687,1.579943381360745,SOUTHEASTERN MEDICAL CENTER
0.3644,Q2,1.5859977532140173,0.9854930099123471,RESURRECTION IMMEDIATE CARE CENTER - NORRIDGE
0.5911,Q2,4.433449050889916,2.754816670200518,SINAI MEDICAL CENTER
0.7521,Q3,1.7360427708369586,1.0787266325577318,51ST AND CALUMET MEDICAL CENTER
0.769,Q3,4.2468547651677,2.638872392287019,SOUTHEASTERN MEDICAL CENTER
0.639,Q2,1.3971049130151028,0.8681204769051074,ACCESS MEDICAL CENTER - AUSTIN
0.6814,Q3,4.011841681585614,2.4928420775285347,OAK LAWN CARE STATION
0.9521,Q4(high),4.696214096432866,2.9180912493145863,SOUTHEASTERN MEDICAL CENTER
0.8261,Q3,2.931189474147827,1.8213561347407095,MAR MEDICAL CENTER
0.612,Q2,4.151926393239806,2.5798866548938113,SINAI MEDICAL CENTER
0.8295,Q3,3.6975489534770403,2.297549690770982,PHYSICIANS IMMEDIATE CARE - CHICAGO SIX CORNERS
0.6765,Q3,4.6067753146934,2.862516584066353,MAR MEDICAL CENTER
0.8879,Q4(high),1.2367660729694998,0.7684905715271311,CONCENTRA MEDICAL CENTER - CHICAGO
0.9877,Q4(high),3.7977943712719107,2.3598392862715984,SOUTHEASTERN MEDICAL CENTER
0.9711,Q4(high),6.8653141200737595,4.265907100104352,CONCENTRA MEDICAL CENTER - CHICAGO
0.6955,Q3,1.1576999858863033,0.7193611979301582,HERRON MEDICAL URGENT CARE CENTER
0.5207,Q2,1.9252564010915068,1.1962984952026308,ADVOCATE HEALTH CENTER - IRVING AND WESTERN
0.9392,Q4(high),2.6753433747115527,1.6623807880878922,AUGUSTA CLINIC
0.7767,Q3,2.5372035012904943,1.5765446768003757,PHYSICIANS IMMEDIATE CARE - CHICAGO SIX CORNERS
0.9109,Q4(high),2.7800769512501793,1.7274591952752751,ERYTHRO MEDICAL AND URGENT CARE CENTER
0.8869,Q4(high),2.9181101148869137,1.8132290001973965,ADVOCATE HEALTH CENTER - IRVING AND WESTERN
0.9819,Q4(high),2.5840620850104354,1.6056612418250193,PHYSICIANS IMMEDIATE CARE - CHICAGO SIX CORNERS
0.9296,Q4(high),3.744561018227475,2.3267616244570246,SINAI MEDICAL CENTER
0.8031,Q3,0.6826843347137281,0.424200247745404,51ST AND CALUMET MEDICAL CENTER
